path,bytes,sha256
C:\lkc\phd sci\results\external_pmsm_validation\target_ocsvm_rbf\system_block_predictions.csv,71630,83e670a42fd19685421c784131778dacad40245141b159e69c6836326f5477c6
C:\lkc\phd sci\results\external_pmsm_validation\target_ocsvm_rbf\fault_record_summary.csv,4939,c5642bbfc14127c2149a8f485b9f6b567398d085ef5cf5de04723c57c32d6342
C:\lkc\phd sci\results\external_pmsm_validation\target_ocsvm_rbf\summary.json,889,1dd838285deb21fdaa7b4bb9531c4ae9653aebeec3ef67c0c84fec5fba9ede63
C:\lkc\phd sci\results\external_pmsm_validation\source_target_ocsvm_rbf\system_block_predictions.csv,74121,61b3f20e2d5b834a1a451a7b018ea63853bdedede9d7d2ea195c36601144702f
C:\lkc\phd sci\results\external_pmsm_validation\source_target_ocsvm_rbf\fault_record_summary.csv,4898,eb740fd6817237fab79ab0982d937a8892a0ea5d74c8851b64aceffda8e75ae3
C:\lkc\phd sci\results\external_pmsm_validation\source_target_ocsvm_rbf\summary.json,912,ab4e3b45656efceaa1f2a763c62c2efd9a895aa9c9320017cfce361325178477
C:\lkc\phd sci\results\external_pmsm_validation\target_isolation_forest\system_block_predictions.csv,73693,eb34048fe9bfe4ee7443aee7cdb5b89062adf4d9d7174019e65037b6e703160e
C:\lkc\phd sci\results\external_pmsm_validation\target_isolation_forest\fault_record_summary.csv,4876,45fb45dbbd401d3d2f364a6cdab5230f72e89826c0a1bff827163ac0bf244935
C:\lkc\phd sci\results\external_pmsm_validation\target_isolation_forest\summary.json,892,1f7a9b2761d0119e702beb52040029e30ef8c5a3d24e80bfaf5a22cf280bdcc8
C:\lkc\phd sci\results\external_pmsm_validation\source_target_isolation_forest\system_block_predictions.csv,76886,a56f1102e444a2d48720fc3f22ef05e7ec9701a321e5b38afeeded4569f69a56
C:\lkc\phd sci\results\external_pmsm_validation\source_target_isolation_forest\fault_record_summary.csv,4869,5bd592c7353ce9b17a3c743c27787086151a11650776d81fdaea1c20abf415e6
C:\lkc\phd sci\results\external_pmsm_validation\source_target_isolation_forest\summary.json,886,9dda2b58ccceca17b643557e2ae2cc83e602a64c5a063140fb5b2bd68355110b
C:\lkc\phd sci\results\external_pmsm_validation\target_min_cov_det\system_block_predictions.csv,70828,8121e47e91a06988748aba4793e5dcfe1f8ef8725af0a4b4f4df06fee5cb52c5
C:\lkc\phd sci\results\external_pmsm_validation\target_min_cov_det\fault_record_summary.csv,4805,466ca9894d79f40377a71a1faef69ca8731e562353d30d16cf58f6569fa1e6aa
C:\lkc\phd sci\results\external_pmsm_validation\target_min_cov_det\summary.json,854,72b2fadf7550d4be2407a52a0478db50a04822421ad67a75581fa0629eb09262
C:\lkc\phd sci\results\external_pmsm_validation\source_target_min_cov_det\system_block_predictions.csv,74183,c4238c1c5bc451a4772b4f65af5df30b7b413236334beba2605af3da7b2b63ee
C:\lkc\phd sci\results\external_pmsm_validation\source_target_min_cov_det\fault_record_summary.csv,4846,018d68d1dd63af906d8eb00662702bf63fa10b2ed9749b115b0fe6926f155745
C:\lkc\phd sci\results\external_pmsm_validation\source_target_min_cov_det\summary.json,894,c8003f901f685aee1266084be1164700f00b243227b4a62b9f51559085068092
